post_title,ID,post_content,post_excerpt,post_date,post_name,post_author,post_publisher,post_status,featured_image,post_format,comment_status,ping_status,post_category,post_tag
The Real Reason Why You're Waking Up Tired,170553731,"<p>Ugh, is it morning already??? </p>
<p>If you're the type of person who wakes up feeling groggy and exhausted, there is an explanation. Actually, there are several reasons why you might feel so tired, even after getting a solid amount of sleep. </p>
<p><strong>1. Your bedroom is too dark </strong></p>
<p>You may love sleeping in utter darkness, but your beloved blackout curtains could be the culprit of your tiredness. If no daylight can seep through your windows, your internal clock won't know day from night. Exposure to sunshine in the morning will signal your brain that it's time to wake up and help you feel more refreshed. </p>
<p><strong>2. Late-night technology </strong></p>
<p>We know it's hard to disconnect from the world, but all that harsh blue light from your TV, laptop, and phone stimulates the brain and makes it difficult to settle down before bed. Try to shut off your technology about an hour before going to sleep. If you really can't do that, at least power down your phone. You can save your Instagram scrolling for the next day. </p>
<p><strong>3. Too many distractions</strong></p>
<p>If you live in a busy city, it may be difficult to tune out the honking cars and barking dogs at night. Being woken up in the middle of the night will cause you to feel extra tired the next day. In order to eliminate some of those distractions, invest in a white noise machine or keep a fan on low to down out any of the sounds that may wake you. Outdoor noises can only be silenced so much, but you do have total control over what's inside your house. Make sure to fix that running toilet of yours and put your phone on silent, as a 2 AM text notification could definitely interrupt your slumber. </p>
<p><strong>4. All that coffee </strong></p>
<p>It is recommended to stop drinking caffeinated beverages by mid-afternoon or earlier. Caffeine interrupts the flow of melatonin - the chemical that sends us to sleep, and drinking a bunch of coffee during the day will negatively effect your sleep patterns. Besides keeping you awake, caffeine can also cause heartburn, which can make sleep awfully uncomfortable. </p>
<p><strong>5. The food you ate </strong></p>
<p>A healthy lifestyle leads to healthier sleep, specifically your diet. Foods high in sugar, fat, and processed carbs have been associated with daytime sleepiness. You should also avoid foods that cause indigestion, acid reflux, or heartburn such as spicy foods, tomato sauce, or citrus fruits. Heartburn is exacerbated when you lie down as it allows the acid to creep up into the esophagus and burn the sensitive lining. </p>
<p><strong>6. You are actually not a morning person </strong></p>
<p>According to science, there are morning people and night people, and it has to do with your circadian system. The circadian system is a region of 20,000 nerve cells that keeps your body on schedule throughout the day, regulating everything from hormone levels to when you feel tired. Some people are ""phase advanced,"" meaning they feel tired early in the evening. Others are ""phase delayed,"" meaning you don't feel tired until late at night. Even though not being a morning person is your biology, you can hack the system. Sticking to a regimented sleep schedule and avoiding light before bed will help you feel tired earlier and make mornings easier. </p>
<p>To sum it all up, a good night's sleep isn't just about the amount of shuteye you get. You need to sleep in a quality environment conducive for sleep. This means parting the blinds up for some sunlight, turning off your devices, limiting your caffeine intake, and eating well. Another way to get your best rest? Sleep on the <a href=""https://eightsleep.com/products/smart-mattress?variant=34044109635"">Eight Smart Mattress</a>. You'll see the difference in the morning! </p>",,7/6/2017 14:30,the-real-reason-why-you-wake-up-tired,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-508289462.jpg?v=1499370445,,open,open,Uncategorized,Lifestyle
What Do Your Dreams Really Mean?,170500035,"<p>For the longest time, we have accepted the Freudian perspective on dreams - that dreams are highly symbolic representations of unconscious desire. Today, however, most brain scientists are rejecting that idea. </p>
<p>There are many theories as to why people dream, and despite the scientific progress in recent years, it still remains a big mystery. What we do know is that dreams seem to replay everyday life. Many researchers believe dreams have a close relationship to the way our brains process memories. Dreaming may be a way for the brain to ""take new information, combine it with old information in these totally strange ways, and see if it can get any insights in the usefulness of that information, says <a href=""http://www.npr.org/sections/health-shots/2017/06/22/533834764/forget-freud-dreams-replay-everyday-life"" target=""_blank"" rel=""noopener noreferrer"">Robert Stickgold</a>, a sleep researcher at Harvard Medical School. </p>
<p>Dreams occur during REM sleep, and so does a process called memory consolidation. During REM sleep, the brain relives recent experiences and stores them into long-term memory. Some scientists believe dreaming is an essential part of this memory processing while others think it's just a byproduct of the brain's nighttime activity. </p>
<p>Another theory calls dreams an extension of waking consciousness, meaning dreams reflect the experience of real life. At sleep onset, students preparing for exams commonly re-experience the material they were studying during the day, lovers have fantasies about their romantic partner, and software developers often see bits of code unfolding in their mind's eye. </p>
<p>Although Freud's theory has little scientific proof, some of his observations are still relevant. For instance, he talked about common dream symbols - such as having one's teeth fall out. He went on to explain this as a symbol for castration. Maybe that's true, maybe it's not. But it is interesting that tons of people have this type of dream. Perhaps we share many dreams because we share the same nervous system design, and many of the same anxieties. </p>
<p>Dreams are such an enigma because they deal with consciousness, a concept that has baffled scientists and philosophers for centuries. When you dream, you are in an altered state of consciousness. It's not the same as wakeful consciousness, but you are experiencing something that appears completely real. Lucid dreaming - when the dreamer is aware of dreaming - opens intriguing possibilities for the study of consciousness. Some researchers say lucid dreaming is a state in which the brain is simultaneously awake and dreaming. Therefore, it may be possible to have dreamers ask themselves in the moment what their dreams mean. WHOA. </p>
<p>Clearly, there is still a lot of research needed to understand dreams. But for now, we're just going to take a night to sleep on all this information...</p>
<p><img src=""https://media3.giphy.com/media/l0MYEqEzwMWFCg8rm/giphy.gif"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p> </p>",,7/3/2017 13:07,what-do-your-dreams-really-mean,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-505501283.jpg?v=1499112422,,open,open,Uncategorized,Lifestyle
Here's Why You Can't Fall Asleep In A New Place,170498499,"<p>Vacations are meant for rest and relaxation, so why is that we often struggle to sleep on our hotel's heavenly bed? </p>
<p>Well, it turns out that your brain is the blame. It appears that half of your brain may remain alert when you sleep in a new location, especially on the first night away from home. Scientists call this phenomenon the ""First Night Effect,"" and they've known about it for <a href=""http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8986.1966.tb02650.x/abstract"" target=""_blank"" rel=""noopener noreferrer"">over 50 years</a>. </p>
<p>In order to better understand this effect, scientists from <a href=""https://news.brown.edu/articles/2016/04/sleep"" target=""_blank"" rel=""noopener noreferrer"">Brown University</a> devised an interesting experiment. They hooked people up to brain-monitoring equipment and played quiet beeping noises by each ear of the sleeper. Researchers found that on the first night of the experiment, the left side of the brain reacted strongly to the sound, compared with the right side. It wasn't the entire left hemisphere affected, but only the default mode network - a group of brain regions associated with spontaneous unfocused mental activity, like daydreaming. Noises played on the left side more frequently woke people up, as well. However, on the second night of the experiment, both brain hemispheres responded at the same level, and the beeps woke fewer people up. </p>
<p>This suggests that humans may be a bit like birds when they sleep. Birds sleep with one eye open and half of their brain awake so that they can stay alert and make important fight or flight decisions. Although we don't sleep with one eye open, something about an unfamiliar environment is keeping our left side of the brain awake. We subconsciously want to stay awake due to the increased anxiety we have around sleeping away from home. It is an adaptive and animalistic response that provides us with protection when sleeping in novel environments. </p>
<p>In order to reduce the first night effect, make your hotel room feel more like your bedroom. Bringing your own pillow and doing the same nighttime routine may trick your brain into thinking you are at home. Staying in a familiar hotel brand will also help ease your mind and make you sleep more comfortable. </p>",,7/3/2017 11:33,heres-why-you-cant-fall-asleep-in-a-new-place,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-638933294.jpg?v=1499096388,,open,open,Uncategorized,"Culture, Lifestyle"
The Best Cure For Your Hangover,170463491,"<p>Whether it's pickle juice, bananas, Pedialyte, or a greasy burger, we all have our preferred hangover remedies. While there's no sure-fire ""cure"" for a hangover, there are methods that work better than others in alleviating that brutal headache. </p>
<p>Hangovers usually involve a gnarly headache, nausea, irritability, and tiredness. The main cause of your hangover symptoms is dehydration, which is why it is important to drink plenty of water - before, during, and after a night of drinking. However, many of us forget to drink water when we go out. With a boozy drink already in hand, it's hard to think of hydrating with something other than a gin and tonic. </p>
<p>With water out of the question, the next best cure - and the one that works every time, is sleep. Alcohol significantly disrupts sleep. It reduces REM sleep, wakes you up before you're truly rested, and aggravates breathing problems. This is why you often feel tired after a night of heavy drinking. The only way to get rid of that feeling is to catch up on the sleep you missed the night before. If you can manage to nod off for an hour or two, you might just feel better. </p>
<p>Sleeping can also help prevent a hangover. Getting enough sleep will improve your immunity and get your body ready to handle a night of drinking. When the body is well-equipped, it can better process alcohol. </p>
<p>When it comes to hangovers, the phrase ""sleeping it off,"" has never been truer. Get a good night's sleep, and you'll feel good in the morning! </p>
<p><img src=""https://media4.giphy.com/media/CfJwEbFfJ8ehW/giphy.gif"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>",,6/30/2017 13:38,the-best-cure-for-your-hangover,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-469923000.jpg?v=1498844314,,open,open,Uncategorized,Lifestyle
This Simple Test Will Tell You If Your Mattress Is Too Old,170462019,"<p>Have you checked your mattress lately? If not, maybe now is a good time to do so. Mattresses -- just like sneakers, tires, or anything else we use -- are affected by wear and tear. And an old mattress can be detrimental to your sleep. If you find yourself waking up stiff or tired in the morning, your mattress may be to blame. </p>
<p>Consumer Reports Magazine recommends replacing your mattress every 7 to 10 years. Because every mattress is different, it's important to feel for yourself if you really need a new one. Generally, a mattress with a noticeable sag in the middle means it's time for an upgrade. This means that your old mattress has lost foundation and support, which can lead to back pain and disrupted sleep. </p>
<p><strong>You can do a simple test at home to see if it's time for your mattress to go:</strong></p>
<p style=""text-align: left;""><img alt="""" src=""//cdn.shopify.com/s/files/1/1354/6123/files/oldmattresstest_3_1024x1024.jpg?v=1498839092"" style=""float: none;""></p>
<p style=""text-align: left;"">The body impression ruler measures the amount of sag in your mattress. If the impression is in the <span style=""color: #000000;"">yellow zone</span>, it's definitely time to start looking for a new mattress. If it's in the red zone, you are probably long past due for a new bed. </p>
<p style=""text-align: left;"">&gt;&gt; <a href=""http://oldbedtest.eightsleep.com/"" target=""_blank"" rel=""noopener noreferrer"">Sign up to receive your free Old Bed Test here</a>. </p>",,6/30/2017 12:12,how-to-tell-if-your-mattress-is-old,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-677030428.jpg?v=1498839932,,open,open,Uncategorized,Lifestyle
"The Easiest Ways To Wake Up Happy Every Morning, According To A Laughter Therapist",170441091,"<p>Laughter truly is the best medicine. It releases all the feel-good chemicals, relieves stress, and stimulates the organs.</p>
<meta charset=""utf-8"">
<p>A simple burst of laughter can decrease depression and anxiety, lower blood pressure, manage pain, enhance creativity and productivity, burn calories, and more. Unfortunately, most adults have little laughter in their lives. Children laugh about 150 times a day while adults only laugh about 12 times per day. If we just laughed a little more, we could be so much happier. And lifelong happiness begins in the morning. Waking up on the right side of the bed can do wonders for your mood. </p>
<p>In an interview with <a href=""http://www.byrdie.com/how-to-become-happy/slide9"" target=""_blank"" rel=""noopener noreferrer"">BYRDIE</a>, laughter coach Francine Shore shared nine tips for waking up and feeling great. </p>
<p><strong>1. Start your morning with gratitude </strong></p>
<p>The first thing you should do every morning is write down three things you're grateful for. Even if yesterday was horrible, there are always positive things to be grateful for. The practice of physically writing down these positives is restorative. It allows you to approach the day from a place of contentment, not bitterness. </p>
<p><img src=""https://media.giphy.com/media/CbH03dCwjTUzK/giphy.gif"" alt="""" width=""277"" height=""136""></p>
<p><strong>2. Smile</strong></p>
<p>This is the simplest thing to do. One smile can trick your mind into feeling happier. When you smile, your body releases endorphins and serotonin, which make you feel good. </p>
<p><img src=""https://media.giphy.com/media/B0vFTrb0ZGDf2/giphy.gif"" alt="""" width=""279"" height=""147""></p>
<p><strong>3. Take a deep breath</strong></p>
<p>Another easy thing to do. Taking a few minutes to breath deeply each morning have significant mood-boosting effects. Deep breathing promotes feelings of calm and relieves stress. </p>
<p><img src=""https://media.giphy.com/media/GJycRLp6zYGFq/giphy.gif"" alt="""" width=""278"" height=""137""></p>
<p><strong>4. Go outside</strong></p>
<p>The happiest people are those who spend time in sunshine and nature. Nature has the ability to heal and awaken the senses. According to Shore, nature reminds us that there is ""something larger out there in the universe,"" and this helps us reign in our egos. She also notes that taking a moment to notice the beauty that surrounds us helps us remember that ""there truly is good in the world."" Even if you don't live near a beach or mountains, you can still benefit by taking a stroll through the park or walking to work instead of riding the subway. </p>
<p> <img src=""https://media.giphy.com/media/TnDoEoXfT7YoE/giphy-downsized-large.gif"" alt="""" width=""272"" height=""153""></p>
<p><strong>5. Just dance</strong></p>
<p>Music and dance actually make you happier. Dancing to good music connects with the emotional centers in the brain. It releases endorphins and reduces levels of cortisol - the stress hormone. Because we spend so much time cooped up in an office in front of a screen, we don't get much time to run around and be free. Dancing and singing makes you feel good because it makes you feel alive. </p>
<p><img src=""https://media4.giphy.com/media/iPTTjEt19igne/giphy.gif"" alt="""" width=""286"" height=""161""></p>
<p><strong>6. Wear bright colors</strong></p>
<p>Wearing a pop of color will immediately brighten your mood and it has the ability to enhance someone else's mood when they're with you. If you're feeling sad, wear yellow. Yellow is considered the brightest and most cheerful of all the colors. If you're feeling anxious, choose something more soothing like lavender or light blue. </p>
<p><img src=""https://media1.giphy.com/media/10NU78sKOSQXcI/giphy.gif"" alt="""" width=""287"" height=""157""></p>
<p><strong>7. Volunteer</strong></p>
<p>""Volunteering helps us develop a deeper sense of compassion and creates a sense of joy and community, Shore says. It helps you get out of your own head and do something for the greater good. You don't have to be a full blown activist for this to work. Spend a morning walking dogs at a local animal shelter. That'll cheer you right up! </p>
<p><img src=""https://media0.giphy.com/media/l4hLQsWNKcQmFCWmA/giphy.gif"" alt="""" width=""289"" height=""163""></p>
<p><strong>8. Play with a puppy </strong></p>
<p>Speaking of dogs, our blood pressure physically lowers when we pet and play with animals. Cats and dogs give unconditional love, which makes us feel more connected and secure. This then promotes feelings of calmness and happiness. If you aren't lucky enough to have a furry pet of your own, ask someone to pet their dog in the morning. We're sure they won't mind! </p>
<p><img src=""https://media4.giphy.com/media/l0ExvA6hnrdzQ5zoI/giphy.gif"" alt="""" width=""290"" height=""163""></p>
<p><strong>9. Watch something funny</strong></p>
<p>At the end of the day, it's important to do anything that'll keep you laughing. Put on an episode of <em>Parks and Recreation</em> before bed or watch a funny movie on Netflix. ""Find the funny in the most ordinary of places,"" says Shore. ""Choose levity in your life. It's a positive coping mechanism.""</p>
<p><img src=""https://media3.giphy.com/media/xUPGclJ5wKOJmENxcs/giphy.gif"" alt="""" width=""308"" height=""173""></p>
<p><strong>BONUS: Sleep on Eight, and wake up happier! </strong></p>
<p>With the Eight Smart Mattress, you'll feel like you're sleeping on a cloud and you'll wake feeling refreshed and ready to take on the day! </p>",,6/29/2017 12:11,the-easiest-ways-to-wake-up-happy-every-morning,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-465120118.jpg?v=1498761375,,open,open,Uncategorized,Culture
This Is The Exact Amount Of Sleep You Need To Be Happy,170439811,"<p>We all know that getting enough sleep is vital for our health, but how much is enough? </p>
<p>According to a <a href=""https://www.amerisleep.com/blog/counting-sheep-losing-sleep/"" target=""_blank"" rel=""noopener noreferrer"">new study</a>, the amount of sleep you should aim for is seven hours six minutes. The researchers surveyed over 2,000 participants to find the exact time - down to the very minute - it takes for sleep to most effectively boost your happiness. </p>
<p>Participants who slept <strong>seven hours and six minutes</strong> rated themselves as ""perfectly happy."" People who slept seven hours rated themselves as ""mostly happy,"" and those who slept for six hours and 54 minutes reported themselves as ""somewhat happy."" Apparently those who got less than six hours 48 minutes of sleep marked themselves as having unhappiness within their relationships as well as anxiety. </p>
<p>It seems as though the mood benefits of sleep boils down to a number game. Sleeping just a couple minutes less can make a notable difference in emotional well-being. </p>
<p>Sleep experts recommend a minimum of seven hours of sleep, but maybe now it's okay to hit the snooze button a few times in order to get those extra six minutes. </p>
<p>It's important to note that quality of sleep is equally as important as the quantity of sleep. The same survey showed that ""participants who meditate or take a shower before getting into bed got the best sleep."" On the other hand, those who did work or played video games before bed got worse sleep. Relaxing before bed helps you achieve a restful sleep. The Eight Sleep Tracker measures whether you've had a restful sleep or not by telling you how many times you tossed and turned and how many times you woke up in the night. The less your sleep is disturbed, the higher the quality. </p>
<p>Getting sufficient sleep is vital for your health and happiness. It repairs your body, organizes your mind, boosts your energy levels, and regulates your mood. So let's start prioritizing good sleep, you'll thank us later. 😊</p>",,6/29/2017 11:06,this-is-the-exact-amount-of-sleep-you-need-to-be-happy,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-695505678.jpg?v=1498749188,,open,open,Uncategorized,"Lifestyle, Trending"
How An Adjustable Pillow Can Help You Sleep Better,170423299,"<p>Tired of waking up with a sore neck or back pain? Well, your pillow could be the underlying problem. <span style=""font-weight: 400;"">Pillows impact the quality of our sleep, and the wrong pillow can keep us from getting a good night’s rest. You need a pillow that will keep your neck and spine aligned in a neutral position while sleeping. Because everyone is different, not every pillow is perfect for everyone. </span></p>
<p class=""p1"">The key is to find a pillow that is the right height and firmness for the person's size, sleeping position, and personal preferences, which is why we developed the <a href=""https://eightsleep.com/pages/ultimatepillow"" target=""_blank"" rel=""noopener noreferrer"">Ultimate Pillow</a>.</p>
<p class=""p1""><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/Screen_Shot_2017-07-11_at_10.03.37_AM_grande.png?v=1499793048"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p class=""p1""> </p>
<p><span style=""font-weight: 400;"">The Ultimate Pillow is an adjustable pillow that fits to your individual needs. It </span><span style=""font-weight: 400;"">is stuffed with three individual layers so you can customize the height and firmness of your pillow for ultimate comfort depending on how you sleep</span><span style=""font-weight: 400;"">.</span></p>
<p><span style=""font-weight: 400;"">Read below for tips on finding the proper alignment and how you can adjust your Eight Ultimate Pillow to achieve it.</span></p>
<p> </p>
<p><b>Back Sleepers</b></p>
<p><span style=""font-weight: 400;"">When lying on your back, a pillow should support the natural curvature of your neck. You want a pillow that’s a little firmer so the head doesn’t go back too far. The pillow should also have contouring properties so it can take on the shape of your head. A medium-firm memory foam pillow offers the best support for back sleepers because it contours to the head while also providing structure and stability between the neck and spine. You can use the insertable cushions to add extra loft in the bottom third of the pillow to cradle your neck. The height of the pillow should be neither too high so that it tilts the head too far forward, nor too low that it extends the neck and tilts the head upwards. Generally, the pillow should be around 3 to 6 inches thick to provide adequate support.  </span></p>
<p style=""text-align: center;""><span style=""font-weight: 400;""><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/1pillow_illustrations_back_grande.jpg?v=1498848458"" alt=""""></span></p>
<p><b>Side Sleepers</b></p>
<p><span style=""font-weight: 400;"">Unlike back and stomach sleepers, side sleepers require extra support. Because of the greater distance between their heads and the mattress, side sleepers typically need thicker and firmer pillows to keep their head and neck in a neutral position. Make sure your pillow is the right thickness between your ear and your mattress so that the neck is evenly aligned with the spine. The best pillow for side sleepers is one that will stay firm all through the night. The memory foam layer in the Ultimate Pillow will do just that, while maintaining the pillow’s shape and stabilizing the neck, as well.</span></p>
<p style=""text-align: center;""><span style=""font-weight: 400;""><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/1pillow_illustrations_side_grande.jpg?v=1498848472"" alt=""""></span></p>
<p><b>Stomach Sleepers</b></p>
<p>If possible, avoid sleeping on your stomach as it’s difficult to maintain the proper spinal position. When lying on your belly, your back is compressed and your neck is usually twisted, which causes discomfort. However, if you are absolutely adamant about sleeping on your stomach, opt for a softer and lower pillow that will cradle the head. You want to have less fill in your pillow than those who sleep on their side or back. If you sleep on your stomach with a pillow that’s too thick, your spine will bend at an angle which is more likely to cause aches and pains.</p>
<p><b>Firmness</b></p>
<p><b><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/4_grande.jpg?v=1499351897"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></b></p>
<p><span style=""font-weight: 400;"">A pillow that is too firm will not allow your neck to fully relax while asleep. However, a pillow that is too soft may not offer enough support. This is where our Ultimate Pillow comes in handy. You can adjust the firmness by rearranging the layers and adding or removing the cushions until your neck feels properly supported. For a firmer pillow, sleep with the memory foam piece on top. For the softest, remove the  memory foam and just sleep on the cushions.</span><span style=""font-weight: 400;""></span></p>
<p><b>How To Test Your Pillow</b></p>
<p>Wondering how to find if your pillow is right for you? Here’s a quick test you can do.</p>
<p>1. Stand next to a wall as if you were lying down on your mattress. For example, a back sleeper should stand with their back against the wall and side sleeper should stand with their side against the wall.</p>
<p><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/1_grande.jpg?v=1499710828"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p>2. Rest your head against the wall. Notice how your neck and head probably isn’t straight with your spine. It’s the job of your pillow to fill this gap.</p>
<p><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/2_1_grande.jpg?v=1499710961"" alt=""""></p>
<p>3. Put the pillow in between your head and the wall. If your spine is straight from your neck to back, you’ve found the right pillow for your body.</p>
<p><img src=""//cdn.shopify.com/s/files/1/1354/6123/files/3_grande.jpg?v=1499711083"" alt=""""></p>
<p>4.Adjust the layers of the pillow accordingly until you body is perfectly aligned.</p>
<ol></ol>
<p><span style=""font-weight: 400;""><br>At Eight, we're dedicated to helping you sleep better, and better sleep requires a good mattress and a proper pillow. With the <a href=""https://eightsleep.com/products/smart-mattress?variant=34044109635"">Eight Smart Mattress</a> and the <a href=""https://eightsleep.com/pages/ultimatepillow"">Ultimate Pillow</a> you'll be sleeping soundly all night long. <br><br></span></p>
<p> </p>",,6/28/2017 14:28,how-an-adjustable-pillow-can-help-you-sleep-better,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/20170523_EIGHT_08.JPG?v=1498770233,,open,open,Uncategorized,Product
8 Things We Learned From SLEEP 2017 Conference,170408067,"<p>In the beginning of June, thousands of researchers gathered in Boston to present new research and discuss the latest developments in clinical sleep medicine and sleep science. Here are some highlights from the <a href=""http://www.sleepmeeting.org/"" target=""_blank"" rel=""noopener noreferrer"">SLEEP 2017 CONFERENCE</a>. </p>
<p><strong>1. Regular sleep is linked to happiness</strong></p>
<p>Researchers from MIT measured the sleep habits of college students for one month. They calculated something called a sleep regularity index, which was the likelihood of being awake or asleep across all time-points during the day. Results showed that higher regular sleep schedules are significantly associated with higher morning and evening happiness, healthiness, and calmness. </p>
<p><strong>2. Sleep loss makes us prone to risky behavior</strong></p>
<p>According to psychologists from Iowa State University, we're most prone to taking risks when we're moderately tired rather than full-on sleep-deprived. Why? Sleep loss makes us prone to risky behavior because it impairs mental processes involved in self-control. However, when we're super exhausted, we lack the ability and energy to follow through on impulses. A slightly tired person, on the other hand, has less self-control and enough energy to take risks.</p>
<p><strong>3. Positive thinking helps you sleep </strong></p>
<p>Rumination, the act of repeatedly obsessing over negative thoughts, can get in the way of sleep. On the contrary, positive types of repetitive thought - called savoring - can actually promote sleep. Researchers at the University of Alabama, VA Pittsburgh Healthcare System, Virginia Commonwealth, and South Texas Veterans Health Care System studied the relationship between sleep, rumination, and savoring. Rumination was associated with poor health and disturbed sleep while savoring predicted lower levels of disturbed sleep.</p>
<p><strong>4. Successful people aren't sending late-night tweets</strong></p>
<p>Sorry Donald Trump, but successful people aren't spending the wee hours of the night tweeting. According to preliminary data from sociologists at Stony Brook University, late night behavior on Twitter can be used as a proxy for not sleeping. The researchers studied game stats and twitter account activity for 112 NBA players. They found that NBA players scored fewer points and took fewer shots when they'd send tweets the night before a game. </p>
<p><strong>5. To remember more, run around <em>and</em> rest up</strong></p>
<p>Researchers from the University of Montreal and the University of Glasgow sought to see if exercise and sleep, combined, affect memory more than either of them do alone. For the study, young adults completed a memory task after doing one of three activities: moderate exercise, hour-long naps, or both. They found that the group who did the exercise-nap combo scored the highest on the memory task. </p>
<p><strong>6. Quality over quantity for better sleep</strong></p>
<p>Derk Dijk, a researcher of sleep and circadian rhythms, studied what makes a person more likely to report better sleep. He found that low number of awakenings and high amount of REM both predicted a subjective report of feeling refreshed. Total sleep time was not a significant factor. </p>
<p><strong>7. Insomniacs have the realest dreams</strong></p>
<p>Psychologists at Laval University in Quebec tested their hypothesis that insomniacs continue to process information even after they hit the sack. They talked about something called dream incorporation, which refers to the act of incorporating aspects of your external environment into your dreams. Because insomniacs fall asleep in a hyper-aroused state, they incorporate more elements from their environments into their dreams than normal sleepers. </p>
<p><strong>8. Sleep can help you recover from depression</strong></p>
<p>Patients with comorbid depression and insomnia who sleep at least 7 hours nightly are more likely to benefit from cognitive-behavioral therapy than those who sleep less. The research shows that sleeping more before starting treatment can increase your chances of recovering from depression and insomnia. </p>",,6/27/2017 17:40,8-things-we-learned-from-sleep-2017-conference,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-510230496.jpg?v=1498601562,,open,open,Uncategorized,Trending
Study Finds Lack Of Sleep Could Hurt Your Relationship,170396483,"<p>We all know that being sleep deprived makes you irritable, but to what extent? New research from The Ohio State University Institute for Behavioral Medicine Research suggests that sleeping less causes you to behave more negatively during a conflict. It also puts you at risk for stress-related inflammation. Specifically, <a href=""https://www.sciencedaily.com/releases/2017/06/170626105142.htm"" target=""_blank"" rel=""noopener noreferrer"">the study</a> focused on couples. The research team recruited 43 couples who would provide blood samples, answer questions about their sleep habits, and then try to resolve a topic that sparks conflict in their relationship. </p>
<p>When both partners slept less than seven hours the night before, they were much more reactive during the conflict, and responded to each other with increased hostility, criticism, and contempt. For every hour of sleep lost, the researchers found that levels of two known inflammatory markers rose 6 percent. Higher levels of these inflammatory factors have been linked to a higher risk of heart disease, diabetes, and arthritis. </p>
<p>The study reported that half of the couples had slept less than the recommended seven hours, which is higher than the current national average. The CDC reports 35% of Americans get less than seven hours of sleep. </p>
<p>The good news is that if one partner was well-rested, the disagreements tended to be neutralized. This just one more reason why getting enough sleep should be prioritized. Better sleep brings happier marriages! </p>",,6/27/2017 11:09,study-finds-lack-of-sleep-could-hurt-your-relationship,eightcarliedobkin,Carlie Dobkin,publish,https://cdn.shopify.com/s/files/1/1354/6123/articles/GettyImages-649757496.jpg?v=1498576151,,open,open,Uncategorized,Trending
